AWS Tag Key:ClusterName,Sep 1st 2022 00:00,Sep 2nd 2022 00:00,Sep 3rd 2022 00:00,Sep 4th 2022 00:00,Sep 5th 2022 00:00,Sep 6th 2022 00:00,Sep 7th 2022 00:00,Sep 8th 2022 00:00,Sep 9th 2022 00:00,Sep 10th 2022 00:00,Sep 11th 2022 00:00,Sep 12th 2022 00:00,Sep 13th 2022 00:00,Sep 14th 2022 00:00,Sep 15th 2022 00:00,Sep 16th 2022 00:00,Sep 17th 2022 00:00,Sep 18th 2022 00:00,Sep 19th 2022 00:00,Sep 20th 2022 00:00,Sep 21st 2022 00:00,Sep 22nd 2022 00:00,Sep 23rd 2022 00:00,Sep 24th 2022 00:00,Sep 25th 2022 00:00,Sep 26th 2022 00:00,Sep 27th 2022 00:00,Sep 28th 2022 00:00,Sep 29th 2022 00:00,Sep 30th 2022 00:00,Oct 1st 2022 00:00,Oct 2nd 2022 00:00,Oct 3rd 2022 00:00,Oct 4th 2022 00:00,Oct 5th 2022 00:00,Oct 6th 2022 00:00,Oct 7th 2022 00:00,Oct 8th 2022 00:00,Oct 9th 2022 00:00,Oct 10th 2022 00:00,Oct 11th 2022 00:00,Oct 12th 2022 00:00,Oct 13th 2022 00:00,Oct 14th 2022 00:00,Oct 15th 2022 00:00,Oct 16th 2022 00:00,Oct 17th 2022 00:00,Oct 18th 2022 00:00,Oct 19th 2022 00:00,Oct 20th 2022 00:00,Oct 21st 2022 00:00,Oct 22nd 2022 00:00,Oct 23rd 2022 00:00,Oct 24th 2022 00:00,Oct 25th 2022 00:00,Oct 26th 2022 00:00,Oct 27th 2022 00:00,Oct 28th 2022 00:00,Oct 29th 2022 00:00,Oct 30th 2022 00:00,Oct 31st 2022 00:00,Nov 1st 2022 00:00,Nov 2nd 2022 00:00,Nov 3rd 2022 00:00,Nov 4th 2022 00:00,Nov 5th 2022 00:00,Nov 6th 2022 00:00,Nov 7th 2022 00:00,Nov 8th 2022 00:00,Nov 9th 2022 00:00,Nov 10th 2022 00:00,Nov 11th 2022 00:00,Nov 12th 2022 00:00,Nov 13th 2022 00:00,Nov 14th 2022 00:00,Nov 15th 2022 00:00,Nov 16th 2022 00:00,Nov 17th 2022 00:00,Nov 18th 2022 00:00,Nov 19th 2022 00:00,Nov 20th 2022 00:00,Nov 21st 2022 00:00,Nov 22nd 2022 00:00,Nov 23rd 2022 00:00,Nov 24th 2022 00:00,Nov 25th 2022 00:00,Nov 26th 2022 00:00,Nov 27th 2022 00:00,Nov 28th 2022 00:00,Nov 29th 2022 00:00,Nov 30th 2022 00:00,Dec 1st 2022 00:00,Dec 2nd 2022 00:00,Dec 3rd 2022 00:00,Dec 4th 2022 00:00,Dec 5th 2022 00:00,Dec 6th 2022 00:00,Dec 7th 2022 00:00,Dec 8th 2022 00:00,Dec 9th 2022 00:00,Dec 10th 2022 00:00,Dec 11th 2022 00:00,Dec 12th 2022 00:00,Dec 13th 2022 00:00,Dec 14th 2022 00:00,Dec 15th 2022 00:00,Dec 16th 2022 00:00,Dec 17th 2022 00:00,Dec 18th 2022 00:00,Dec 19th 2022 00:00,Dec 20th 2022 00:00,Dec 21st 2022 00:00,Dec 22nd 2022 00:00,Dec 23rd 2022 00:00,Dec 24th 2022 00:00,Dec 25th 2022 00:00,Dec 26th 2022 00:00,Dec 27th 2022 00:00,Dec 28th 2022 00:00,Dec 29th 2022 00:00,Dec 30th 2022 00:00,Dec 31st 2022 00:00,Jan 1st 2023 00:00,Jan 2nd 2023 00:00,Jan 3rd 2023 00:00,Jan 4th 2023 00:00,Jan 5th 2023 00:00,Jan 6th 2023 00:00,Jan 7th 2023 00:00,Jan 8th 2023 00:00,Jan 9th 2023 00:00,Jan 10th 2023 00:00,Jan 11th 2023 00:00,Jan 12th 2023 00:00,Jan 13th 2023 00:00,Jan 14th 2023 00:00,Jan 15th 2023 00:00,Jan 16th 2023 00:00,Jan 17th 2023 00:00,Jan 18th 2023 00:00,Jan 19th 2023 00:00,Jan 20th 2023 00:00,Jan 21st 2023 00:00,Jan 22nd 2023 00:00,Jan 23rd 2023 00:00,Jan 24th 2023 00:00,Jan 25th 2023 00:00,Jan 26th 2023 00:00,Jan 27th 2023 00:00,Jan 28th 2023 00:00,Jan 29th 2023 00:00,Jan 30th 2023 00:00,Jan 31st 2023 00:00,Feb 1st 2023 00:00,Feb 2nd 2023 00:00,Feb 3rd 2023 00:00,Feb 4th 2023 00:00,Feb 5th 2023 00:00,Feb 6th 2023 00:00
axp-bu-cluster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,107.45,82.58,0,0,131.43,153.98,156.16,200.54,53.63,7.85,0.28,146.01,374.8,314.39,374.67,216.07,0.44,7.19,203.59,170.06,102.42,251.47,127.52,0,13.82,127.72,113.88,88.81,113.46,143.72,5.12,8.93,327.6,109.14,138.38,76.28,127.04,5.11,5.11,126.56,245.38,410.01,421.92,244.09,64.3,35.53,232.29
carolina_calegare_su_cluster_spark3,72.68,49.84,0,0,11.02,4.41,2.84,91.57,21.46,0,0,95.82,26.3,4.02,70.15,8.13,0,0,0,0,0,0.71,0.02,0,0,3.98,398.23,215.8,0,0,0,0,2.67,0.09,2.47,144.33,36.81,0.04,0,24.11,6.52,0,0,3.63,0,18.98,10.37,0,27.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,19.8,9.35,8.58,10.83,49.01,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.92,0.18,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christian_chinem_su_cluster_spark3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.59,30.47,0,0,0,121.94,49.58,31.15,7.19,0.35,0,108.71,38.71,0,0,34.31,0.05,0,7.36,0.35,0,0,74.62,43.56,0,98.5,87.95,14.83,0.23,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christian_chinem_su_cluster_spark3_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christian_chinem_su_cluster_spark3_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.83,0,0,23.21,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,55.53,0.32,0,0,0,0,0
gabriela_marcon_su_cluster_spark3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.52,80.2,202.44,134.78,70.56,28.32,18.73,0.02,0,0,68.43,132.97,22.72,48.18,16.51,0.73,1.6,2.66,31.63,52.84,64.13,68.16,0,0,12.2,30.03,3.91,1.6,0,0,0,1.49,178.5,253.47,31.83,1.03,0,0,146.93,493.66,184.59,0,0,0,0,3.81,81.71,115.88,125.41,0,0,0.2,23.53,275.02,58.31,217.67,0.33,0,0,0,25.5,69.33,101.61,0.01,0,0,41.02,317.78,39.04,0,59.81,0.01,0,49.41,50.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,1.22,0,0,0,0,0,0,0,49.51,26.79,0,0,0,0,39.71,0.12,0,0,0,0,0,0,0,0,0,0,0
jaqueline_barbosa_su_cluster_spark3,3.78,0.61,0,0,6.24,20.3,69.4,43.35,0,0,0,0.79,0,0,0,0,0,0,0,7.74,61.66,0.11,0,0,0,0,0,0,0,41.33,0.12,0,0,22.93,1.19,0,9.14,0.18,0,59.96,57.05,0,4.57,5.03,0,0,0,0,6.43,0.07,0,0,0,0,0,0.97,0,0,0,0,37.29,0,0,29.21,4.13,0,0,0,6.7,23.95,15.03,9.57,0.03,0,0.03,0,0,31.74,2.75,0,0,24.73,107.01,22.85,8.34,13.28,0,1.11,26.47,5.86,10.85,20,1.89,0,0,23.64,115.94,15.53,7.01,5.26,0,0,18.56,139.21,40.04,0.23,57.11,0.01,0,9.55,6.88,79.32,12.24,0.05,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,7.44,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0
kellen_guimaraes_su_cluster_spark3,0,0,0,0,0,0,0,0.73,0.01,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.03,3.5,0,0,0,38.49,30.23,56.38,0.7,0,0,0,0,0,0,3.67,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,0.66,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79,0,0,0,0,0,0,0,0,2.51,2.1,0,0,0,0,0,0.48,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,0.17,0,0,0,0,0
larissa_liete_su_cluster_spark3,0,44.25,0,0,0,0,0,0,10.44,0,0,0.64,0,0,0,0,0,5.41,0,0,0,46.98,0,0,0,0,0,12.92,0,51.75,0,0,0,88.59,0.26,45.21,0,0,0,0,0,0,0,0,0,0,30.11,0.38,0,0,10.33,21.04,19.08,184.11,4.7,85.14,16.58,38.15,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,29.21,0,0,0,0,0,0,0,92.38,237.36,132.1,0.08,1.77,25.15,51.36,10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.84,13.27,7.38,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lucas_bessa_su_cluster_spark3,55.86,0.68,0,64.77,295.67,47.38,0.08,66,248.84,160.49,0,0,6.93,0,0,6.09,0,0,0,0,0,0,0,0,0,2.07,155.25,0,25.51,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.87,57.89,77.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
