AWS Tag Key:ClusterName,Oct 5th 2022 00:00,Oct 6th 2022 00:00,Oct 7th 2022 00:00,Oct 8th 2022 00:00,Oct 9th 2022 00:00,Oct 10th 2022 00:00,Oct 11th 2022 00:00,Oct 12th 2022 00:00,Oct 13th 2022 00:00,Oct 14th 2022 00:00,Oct 15th 2022 00:00,Oct 16th 2022 00:00,Oct 17th 2022 00:00,Oct 18th 2022 00:00,Oct 19th 2022 00:00,Oct 20th 2022 00:00,Oct 21st 2022 00:00,Oct 22nd 2022 00:00,Oct 23rd 2022 00:00,Oct 24th 2022 00:00,Oct 25th 2022 00:00,Oct 26th 2022 00:00,Oct 27th 2022 00:00,Oct 28th 2022 00:00,Oct 29th 2022 00:00,Oct 30th 2022 00:00,Oct 31st 2022 00:00,Nov 1st 2022 00:00,Nov 2nd 2022 00:00,Nov 3rd 2022 00:00,Nov 4th 2022 00:00,Nov 5th 2022 00:00,Nov 6th 2022 00:00,Nov 7th 2022 00:00,Nov 8th 2022 00:00,Nov 9th 2022 00:00,Nov 10th 2022 00:00,Nov 11th 2022 00:00,Nov 12th 2022 00:00,Nov 13th 2022 00:00,Nov 14th 2022 00:00,Nov 15th 2022 00:00,Nov 16th 2022 00:00,Nov 17th 2022 00:00,Nov 18th 2022 00:00,Nov 19th 2022 00:00,Nov 20th 2022 00:00,Nov 21st 2022 00:00,Nov 22nd 2022 00:00,Nov 23rd 2022 00:00,Nov 24th 2022 00:00,Nov 25th 2022 00:00,Nov 26th 2022 00:00,Nov 27th 2022 00:00,Nov 28th 2022 00:00,Nov 29th 2022 00:00,Nov 30th 2022 00:00,Dec 1st 2022 00:00,Dec 2nd 2022 00:00,Dec 3rd 2022 00:00,Dec 4th 2022 00:00,Dec 5th 2022 00:00,Dec 6th 2022 00:00,Dec 7th 2022 00:00,Dec 8th 2022 00:00,Dec 9th 2022 00:00,Dec 10th 2022 00:00,Dec 11th 2022 00:00,Dec 12th 2022 00:00,Dec 13th 2022 00:00,Dec 14th 2022 00:00,Dec 15th 2022 00:00,Dec 16th 2022 00:00,Dec 17th 2022 00:00,Dec 18th 2022 00:00,Dec 19th 2022 00:00,Dec 20th 2022 00:00,Dec 21st 2022 00:00,Dec 22nd 2022 00:00,Dec 23rd 2022 00:00,Dec 24th 2022 00:00,Dec 25th 2022 00:00,Dec 26th 2022 00:00,Dec 27th 2022 00:00,Dec 28th 2022 00:00,Dec 29th 2022 00:00,Dec 30th 2022 00:00,Dec 31st 2022 00:00,Jan 1st 2023 00:00,Jan 2nd 2023 00:00
axp-bu-cluster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,107.45,82.58,0,0,131.43,153.98,156.16,200.54,53.63,7.85,0.28,145.83
carolina_calegare_su_cluster_spark3,2.47,144.33,36.81,0.04,0,24.11,6.52,0,0,3.63,0,18.98,10.37,0,27.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,19.8,9.35,8.58,10.83,49.01,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.92,0.18,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christian_chinem_su_cluster_spark3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.59,30.47,0,0,0,121.94,49.58,31.15,7.19,0.35,0,108.71,38.71,0,0,34.31,0.05,0,7.36,0.35,0,0,74.62,43.56,0,98.5,87.95,14.83,0.23,0,0,0,0
gabriela_marcon_su_cluster_spark3,0,0,70.52,80.2,202.44,134.78,70.56,28.32,18.73,0.02,0,0,68.43,132.97,22.72,48.18,16.51,0.73,1.6,2.66,31.63,52.84,64.13,68.16,0,0,12.2,30.03,3.91,1.6,0,0,0,1.49,178.5,253.47,31.83,1.03,0,0,146.93,493.66,184.59,0,0,0,0,3.81,81.71,115.88,125.41,0,0,0.2,23.53,275.02,58.31,217.67,0.33,0,0,0,25.5,69.33,101.61,0.01,0,0,41.02,317.78,39.04,0,59.81,0.01,0,49.41,50.07,0,0,0,0,0,0,0,0,0,0,0,0,0
jaqueline_barbosa_su_cluster_spark3,1.19,0,9.14,0.18,0,59.96,57.05,0,4.57,5.03,0,0,0,0,6.43,0.07,0,0,0,0,0,0.97,0,0,0,0,37.29,0,0,29.21,4.13,0,0,0,6.7,23.95,15.03,9.57,0.03,0,0.03,0,0,31.74,2.75,0,0,24.73,107.01,22.85,8.34,13.28,0,1.11,26.47,5.86,10.85,20,1.89,0,0,23.64,115.94,15.53,7.01,5.26,0,0,18.56,139.21,40.04,0.23,57.11,0.01,0,9.55,6.88,79.32,12.24,0.05,0,0,0,0,0,8.33,0,0,0,0
kellen_guimaraes_su_cluster_spark3,30.23,56.38,0.7,0,0,0,0,0,0,3.67,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,0.66,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79,0,0,0,0,0,0
larissa_liete_su_cluster_spark3,0.26,45.21,0,0,0,0,0,0,0,0,0,0,30.11,0.38,0,0,10.33,21.04,19.08,184.11,4.7,85.14,16.58,38.15,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,29.21,0,0,0,0,0,0,0,92.38,237.36,132.1,0.08,1.77,25.15,51.36,10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lucas_bessa_su_cluster_spark3,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.87,57.89,77.11,0,0,0,0,0,0,0,0,0,0
marco_soares_su_cluster_spark3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,1.98,0,0,0,0,0,0,0
mariana_andrade_su_cluster_spark3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rafael_calsaverini_su_cluster_spark3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.55,5.72,3.68,0,0,1.81,0,0.41,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,43.83,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
